2015-09-21T22:38:19.881+0800 I JOURNAL  [initandlisten] journal dir=data\journal
2015-09-21T22:38:19.891+0800 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-09-21T22:38:20.094+0800 I JOURNAL  [durability] Durability thread started
2015-09-21T22:38:20.098+0800 I JOURNAL  [journal writer] Journal writer thread started
2015-09-21T22:38:20.206+0800 I CONTROL  [initandlisten] MongoDB starting : pid=7200 port=12345 dbpath=data 64-bit host=DESKTOP-SUP0V1H
2015-09-21T22:38:20.209+0800 I CONTROL  [initandlisten] targetMinOS: Windows Server 2003 SP2
2015-09-21T22:38:20.209+0800 I CONTROL  [initandlisten] db version v3.0.6
2015-09-21T22:38:20.210+0800 I CONTROL  [initandlisten] git version: 1ef45a23a4c5e3480ac919b28afcba3c615488f2
2015-09-21T22:38:20.210+0800 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-09-21T22:38:20.210+0800 I CONTROL  [initandlisten] allocator: tcmalloc
2015-09-21T22:38:20.210+0800 I CONTROL  [initandlisten] options: { config: "conf/mongod.conf", net: { port: 12345 }, storage: { dbPath: "data" }, systemLog: { destination: "file", path: "log/mongod.log" } }
2015-09-21T22:38:22.451+0800 I NETWORK  [initandlisten] waiting for connections on port 12345
2015-09-21T22:39:23.566+0800 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:56913 #1 (1 connection now open)
2015-09-21T22:39:39.499+0800 I COMMAND  [conn1] command chihuo.$cmd command: count { count: "users" } planSummary: COUNT ntoreturn:1 keyUpdates:0 writeConflicts:0 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 2 } }, MMAPV1Journal: { acquireCount: { r: 1 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { R: 1 } } } 164ms
2015-09-21T22:42:23.791+0800 I NETWORK  [conn1] end connection 127.0.0.1:56913 (0 connections now open)
2015-09-21T22:42:57.242+0800 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:56926 #2 (1 connection now open)
2015-09-21T22:44:51.172+0800 I CONTROL  CTRL_CLOSE_EVENT signal
2015-09-21T22:44:51.172+0800 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-09-21T22:44:51.191+0800 I CONTROL  [consoleTerminate] now exiting
2015-09-21T22:44:51.191+0800 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-09-21T22:44:51.191+0800 I NETWORK  [consoleTerminate] closing listening socket: 544
2015-09-21T22:44:51.192+0800 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-09-21T22:44:51.192+0800 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-09-21T22:44:51.192+0800 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-09-21T22:44:51.192+0800 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-09-21T22:44:51.193+0800 I NETWORK  [conn2] end connection 127.0.0.1:56926 (0 connections now open)
2015-09-21T22:44:51.198+0800 I JOURNAL  [consoleTerminate] journalCleanup...
2015-09-21T22:44:51.237+0800 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-09-21T22:44:51.239+0800 I JOURNAL  [consoleTerminate] Terminating durability thread ...
2015-09-21T22:44:51.295+0800 I JOURNAL  [journal writer] Journal writer thread stopped
2015-09-21T22:44:51.295+0800 I JOURNAL  [durability] Durability thread stopped
2015-09-21T22:44:51.295+0800 I STORAGE  [consoleTerminate] shutdown: closing all files...
2015-09-21T22:44:51.317+0800 I STORAGE  [consoleTerminate] closeAllFiles() finished
2015-09-21T22:44:51.317+0800 I STORAGE  [consoleTerminate] shutdown: removing fs lock...
2015-09-21T22:44:51.318+0800 I CONTROL  [consoleTerminate] dbexit:  rc: 12
